county_name,median_household_income,median_home_value,estimated_monthly_owner_cost,affordable_monthly_housing_cost,owner_affordability_gap,estimated_owner_cost_to_income_ratio,owner_affordability_class
Nantucket County,139688,1593800,9670.103460078039,3492.2,6177.903460078039,0.8307173237567755,Severely Unaffordable
Dukes County,125786,1165800,7113.569214304791,3144.6499999999996,3968.9192143047912,0.6786353852706779,Severely Unaffordable
Suffolk County,95631,705800,4365.892221184013,2390.775,1975.1172211840126,0.5478422964750777,Severely Unaffordable
Barnstable County,95241,629000,3907.149627549935,2381.025,1526.1246275499348,0.49228583835322204,Severely Unaffordable
Essex County,101883,619100,3848.014840089292,2547.075,1300.9398400892924,0.4532275068566052,Severely Unaffordable
Middlesex County,130847,727800,4497.3028599854415,3271.1749999999997,1226.1278599854418,0.41244838872748557,Highly Unaffordable
Norfolk County,130739,683900,4235.078903468046,3268.475,966.6039034680457,0.38872063302929155,Highly Unaffordable
Bristol County,85625,451200,2845.1127376002073,2140.625,704.4877376002073,0.3987311281892261,Highly Unaffordable
Plymouth County,114201,556000,3471.105235163376,2855.025,616.0802351633761,0.3647364105564795,Highly Unaffordable
Hampshire County,87001,390300,2481.344196554435,2175.0249999999996,306.31919655443517,0.342250438025462,Moderately Unaffordable
Worcester County,95939,423700,2680.8494390984215,2398.475,282.3744390984216,0.33531924732570756,Moderately Unaffordable
Franklin County,74907,329000,2115.186371166818,1872.675,242.51137116681798,0.3388499933784802,Moderately Unaffordable
Hampden County,71306,298800,1934.7954033575843,1782.65,152.1454033575842,0.3256043648541639,Moderately Unaffordable
Berkshire County,76013,305400,1974.218594998013,1900.325,73.89359499801299,0.3116654143367076,Moderately Unaffordable
